"","ObsidianSources.Code","ObsidianSources.ID","ObsidianSources.Rb","ObsidianSources.Sr","ObsidianSources.Y","ObsidianSources.Zr","ObsidianSources.Nb"
"1","A","A1",121,40,23,110,55
"2","A","A2",117,43,21,110,53
"3","A","A3",121,44,24,114,49
"4","A","A4",116,41,22,112,52
"5","A","A5",118,43,21,111,55
"6","A","A6",123,44,25,113,53
"7","A","A7",117,44,23,108,50
"8","A","A8",115,54,20,113,40
"9","A","A9",106,39,21,106,50
"10","A","A10",113,36,19,107,46
"11","A","A11",109,42,18,110,51
"12","A","A12",110,41,20,104,50
"13","A","A13",116,36,21,107,51
"14","A","A14",123,38,27,113,56
"15","A","A15",116,42,23,114,53
"16","B","B1",172,11,47,179,54
"17","B","B2",156,9,41,166,53
"18","B","B3",167,11,44,178,56
"19","B","B4",163,10,44,169,51
"20","B","B5",167,10,43,189,54
"21","B","B6",160,10,44,173,56
"22","B","B7",159,10,44,174,56
"23","B","B8",158,10,44,173,55
"24","B","B9",158,10,43,174,55
"25","B","B10",156,10,43,172,54
"26","B","B11",178,10,42,170,54
"27","B","B12",158,10,44,174,55
"28","B","B13",156,10,43,171,54
"29","B","B14",156,10,43,172,54
"30","B","B15",159,10,44,174,56
"31","B","B16",161,11,43,172,54
"32","C","C1",217,5,66,192,97
"33","C","C2",215,5,66,187,97
"34","C","C3",214,5,62,183,99
"35","C","C4",222,0,66,192,103
"36","C","C5",190,4,59,175,94
"37","C","C6",216,6,65,188,97
"38","C","C7",218,5,69,188,99
"39","C","C8",214,0,63,182,103
"40","C","C9",179,1,58,162,92
"41","C","C10",197,4,60,174,90
"42","C","C11",211,6,66,189,98
"43","C","C12",208,0,60,184,97
"44","C","C13",199,7,62,178,96
"45","C","C14",198,7,61,177,94
"46","C","C15",200,7,62,179,96
"47","C","C16",207,6,63,187,99
"48","C","C17",204,6,63,181,98
"49","C","C18",204,7,63,184,99
"50","C","C19",205,6,63,182,99
"51","C","C20",217,7,67,193,105
"52","C","C21",205,8,63,177,100
"53","C","C22",204,7,62,175,99
"54","C","C23",201,7,62,172,97
"55","C","C24",203,8,62,177,99
"56","C","C25",204,7,63,175,99
"57","C","C26",203,6,63,176,98
"58","C","C27",209,6,65,184,103
"59","C","C28",210,7,62,171,97
"60","D","D1",160,9,21,76,48
"61","D","D2",165,10,22,79,52
"62","D","D3",157,9,23,76,48
"63","D","D4",149,4,25,68,49
"64","D","D5",156,2,23,75,45
"65","D","D6",151,11,23,79,46
"66","D","D7",157,11,24,80,48
"67","D","D8",154,11,24,81,47
"68","D","D9",148,11,24,78,46
"69","D","D10",147,10,23,78,45
"70","D","D11",150,10,23,79,46
"71","D","D12",146,10,23,77,45
"72","D","D13",147,10,23,78,45
"73","D","D14",146,10,22,77,45
"74","D","D15",148,10,23,78,46
"75","E","E1",109,94,24,128,34
"76","E","E2",95,85,25,124,38
"77","E","E3",99,86,26,120,32
"78","E","E4",99,86,22,136,33
"79","E","E5",105,89,20,138,37
"80","E","E6",101,86,20,125,34
"81","E","E7",105,93,24,128,29
"82","E","E8",102,89,24,134,29
"83","E","E9",96,85,24,130,31
"84","E","E10",108,72,22,123,43
"85","E","E11",100,87,25,121,36
"86","E","E12",101,86,22,120,34
"87","E","E13",103,86,28,123,35
"88","E","E14",105,87,24,122,32
"89","E","E15",97,85,23,113,30
"90","E","E16",102,82,24,120,31
"91","E","E17",95,81,23,115,27
"92","E","E18",100,85,25,119,27
"93","E","E19",93,79,22,128,33
"94","E","E20",101,91,23,132,34
"95","E","E21",103,89,26,121,33
"96","E","E22",87,76,21,112,30
"97","E","E23",107,90,23,120,32
"98","E","E24",95,79,22,117,32
"99","E","E25",99,87,22,126,38
"100","E","E26",101,79,24,119,34
"101","E","E27",101,89,24,129,33
"102","E","E28",99,88,25,125,31
"103","E","E29",99,85,21,135,30
"104","E","E30",104,85,26,130,29
"105","E","E31",108,95,28,136,37
"106","E","E32",105,90,26,128,32
"107","E","E33",93,85,26,140,41
"108","E","E34",100,86,26,130,31
"109","E","E35",111,91,26,135,34
"110","E","E36",102,86,27,129,35
"111","E","E37",98,86,27,132,33
"112","E","E38",101,88,25,129,34
"113","E","E39",105,89,28,137,36
